root_slp1	source	registers
aQaRQolay	dcs:1	shukasaptati:1
aR	dcs:2	ch-up:2
aS	dcs:611,vidyut:22,marker:1	rigveda:158,atharvaveda:46,manavadharmashastra:34
aSezay	dcs:5	mahabharata-adiparva:2,mahabharata-udyogaparva:1,mahabharata-shalyaparva:1
aSiSiz	dcs:2	ch-up:2
aYc	dcs:243,vidyut:13	atharvaveda:122,rigveda:50,br-up:14
aYcay	dcs:5	amaru-shataka:2,ramayana-sundarakanda:1,kama-sutra:1
aYj	dcs:249,vidyut:11,marker:3	rigveda:125,atharvaveda:42,mahabharata-dronaparva:11
aYjay	dcs:2	megha-duta:1,manavadharmashastra:1
ac	vidyut:3,dcs:2	rigveda:4,sankhya-karika:1
ad	dcs:567,vidyut:47,marker:4	rigveda:130,atharvaveda:84,ramayana-ayodhyakanda:32
ag	vidyut:39,marker:9	atharvaveda:11,rigveda:7,ramayana-balakanda:6
ah	dcs:748,marker:5,vidyut:3	mahabharata-aranyakaparva:75,mahabharata-udyogaparva:69,shukasaptati:64
aj	dcs:30,vidyut:17	rigveda:33,atharvaveda:10,mahabharata-dronaparva:3
ak	vidyut:2	mahabharata-sabhaparva:1,isha-up:1
akz	dcs:3,vidyut:1	rigveda:2,atharvaveda:1,mahabharata-aranyakaparva:1
alar	dcs:3	rigveda:3
am	dcs:192,vidyut:7	mahabharata-aranyakaparva:17,ramayana-ayodhyakanda:14,mahabharata-udyogaparva:12
amitrAy	dcs:1	shatakatrayam:1
amitray	dcs:3	rigveda:3
an	dcs:21,vidyut:6	rigveda:6,atharvaveda:3,mahabharata-udyogaparva:3
anUdi	dcs:1	kama-sutra:1
anUtTA	dcs:1	ch-up:1
and	vidyut:2,dcs:2	rigveda:2,ramayana-sundarakanda:1,mahabharata-shalyaparva:1
anniy	dcs:1	rigveda:1
anuhu	vidyut:2	atharvaveda:2
anukUlay	dcs:1	kumarasambhava:1
anulomay	dcs:1	mahabharata-karnaparva:1
anuparI	dcs:3	atharvaveda:1,mahabharata-bhishmaparva:1,mahabharata-ashvamedhikaparva:1
anupraC	dcs:7	mahabharata-ashvamedhikaparva:2,mahabharata-aranyakaparva:2,mahabharata-adiparva:1
anupre	dcs:2	rigveda:1,mahabharata-bhishmaparva:1
anuprekz	dcs:1	ramayana-ayodhyakanda:1
anuutkram	vidyut:1	br-up:1
anuvizic	dcs:1	atharvaveda:1
anuzWA	dcs:89,vidyut:3	mahabharata-udyogaparva:13,manavadharmashastra:8,ramayana-aranyakanda:5
anuzwu	dcs:2	rigveda:2
anvavekz	dcs:11	mahabharata-aranyakaparva:4,mahabharata-adiparva:3,ramayana-ayodhyakanda:2
anvi	dcs:41,vidyut:7	rigveda:9,mahabharata-aranyakaparva:7,atharvaveda:5
apAj	dcs:1	rigveda:1
apAn	dcs:10	atharvaveda:5,br-up:3,rigveda:1
apaAkf	vidyut:2	raghuvamsha:1,gitarthasamgraha-abhinavagupta:1
apaAkram	vidyut:2	mahabharata-shalyaparva:1,mahabharata-karnaparva:1
apai	vidyut:11	ch-up:5,bhagavadgita-prabhupada:2,rigveda:2
apanilay	vidyut:1	atharvaveda:1
apaprai	vidyut:1	rigveda:1
apasfj	vidyut:1	vedartha-samgraha_ramanuja:1
apasy	dcs:1	rigveda:1
ape	dcs:35	atharvaveda:11,ramayana-ayodhyakanda:7,mahabharata-aranyakaparva:4
apekz	dcs:14	kama-sutra:5,kumarasambhava:3,nyaya-bhashya:2
apiIkz	vidyut:1	shukasaptati:1
apizWA	dcs:1	rigveda:1
apodi	dcs:1	atharvaveda:1
apoh	dcs:10	manavadharmashastra:3,mahabharata-sabhaparva:2,raghuvamsha:1
arAtIy	dcs:1	rigveda:1
arAtiy	dcs:1	atharvaveda:1
arDay	dcs:1	atharvaveda:1
arTay	dcs:33	mahabharata-udyogaparva:6,raghuvamsha:4,rigveda:3
arc	dcs:222,vidyut:5,marker:3	rigveda:105,atharvaveda:16,mahabharata-aranyakaparva:14
arcay	dcs:122	mahabharata-aranyakaparva:30,mahabharata-ashvamedhikaparva:13,ramayana-ayodhyakanda:12
arci	dcs:45,vidyut:5	rigveda:18,ch-up:9,br-up:9
arday	dcs:90	mahabharata-dronaparva:33,mahabharata-karnaparva:21,rigveda:6
arh	dcs:701	ramayana-ayodhyakanda:68,mahabharata-aranyakaparva:66,mahabharata-adiparva:63
arhay	dcs:4	manavadharmashastra:3,mahabharata-adiparva:1
arjay	dcs:21	mahabharata-udyogaparva:5,mahabharata-aranyakaparva:3,shukasaptati:3
arpay	dcs:147	mahabharata-dronaparva:23,rigveda:14,shukasaptati:11
arv	vidyut:4	rigveda:3,manavadharmashastra:1
arzi	vidyut:1	mahabharata-shantiparva:1
as	dcs:4422,vidyut:22,marker:1	rigveda:895,atharvaveda:492,mahabharata-aranyakaparva:291
asUy	dcs:5	mahabharata-aranyakaparva:2,mahabharata-udyogaparva:1,rigveda:1
at	vidyut:11,dcs:3	atharvaveda:4,rigveda:3,vedartha-samgraha_ramanuja:1
atI	dcs:183	mahabharata-aranyakaparva:9,mahabharata-udyogaparva:9,nyaya-bhashya:8
atidfS	vidyut:4	atharvaveda:3,rigveda:1
atidiv	vidyut:2	rigveda:1,mahabharata-sabhaparva:1
atikf	dcs:29,vidyut:1	mahabharata-adiparva:6,mahabharata-aranyakaparva:4,kama-sutra:4
atit￞	dcs:16	bhagavadgita-prabhupada:2,gitarthasamgraha-abhinavagupta:2,mahabharata-bhishmaparva:1
ativAhi	vidyut:2	raghuvamsha:2
atizWA	dcs:3,vidyut:2	atharvaveda:2,br-up:1,kau-up:1
atyAnI	dcs:4,vidyut:1	mahabharata-sabhaparva:2,ramayana-ayodhyakanda:1,mahabharata-udyogaparva:1
atye	dcs:9	ch-up:3,mahabharata-karnaparva:2,br-up:1
av	dcs:370,vidyut:31,marker:1	rigveda:344,atharvaveda:36,tai-up:4
avAj	dcs:1	rigveda:1
avaAp	vidyut:57	mahabharata-aranyakaparva:8,bhagavadgita-erman:4,mahabharata-bhishmaparva:3
avagAmi	vidyut:3	atharvaveda:2,vedartha-samgraha_ramanuja:1
avaloki	vidyut:1	paramarthasara-abhinavagupta:1
avapAti	vidyut:2	manavadharmashastra:1,kama-sutra:1
avarj	dcs:1	ait-up:1
avaropi	vidyut:1	raghuvamsha:1
avasf	dcs:1	mahabharata-dronaparva:1
avazwamB	dcs:45	bhagavadgita-prabhupada:4,bhagavadgita-smirnov:3,mahabharata-bhishmaparva:3
avekz	dcs:142,marker:1	ramayana-ayodhyakanda:20,ramayana-sundarakanda:10,mahabharata-aranyakaparva:10
aviSezay	dcs:1	mahabharata-dronaparva:1
avizy	dcs:4	rigveda:4
aw	dcs:10,vidyut:7	mahabharata-aranyakaparva:5,ramayana-ayodhyakanda:3,mahabharata-adiparva:2
bAD	dcs:151,vidyut:14	rigveda:65,atharvaveda:24,mahabharata-aranyakaparva:13
bADay	dcs:1	atharvaveda:1
bAzpAy	dcs:1	raghuvamsha:1
badbaD	dcs:10	rigveda:10
banD	dcs:539,vidyut:16,marker:2	atharvaveda:68,mahabharata-aranyakaparva:25,ramayana-ayodhyakanda:24
banDay	dcs:7	ramayana-ayodhyakanda:2,hatha-yoga-pradipika:2,raghuvamsha:1
barbfh	dcs:3,vidyut:2	rigveda:3,atharvaveda:2
barhay	dcs:9	rigveda:6,ramayana-ayodhyakanda:2,mahabharata-dronaparva:1
beBid	dcs:2	buddhacharita:2
bfMh	dcs:13,vidyut:2	rigveda:4,mahabharata-dronaparva:3,mahabharata-shalyaparva:2
bfMhay	dcs:16	mahabharata-bhishmaparva:3,mahabharata-adiparva:2,mahabharata-karnaparva:2
biBits	dcs:5	rigveda:2,mahabharata-dronaparva:2,mahabharata-udyogaparva:1
boBav	dcs:1	atharvaveda:1
boDay	dcs:115	rigveda:18,mahabharata-aranyakaparva:9,mahabharata-adiparva:8
brU	dcs:2932,vidyut:42,marker:2	mahabharata-aranyakaparva:368,mahabharata-udyogaparva:310,mahabharata-adiparva:261
brahmaRy	dcs:2	rigveda:2
buBUrz	dcs:1	br-up:1
buBUz	dcs:19	mahabharata-udyogaparva:4,br-up:4,mahabharata-virataparva:3
buBukz	dcs:8	mahabharata-shalyaparva:2,mahabharata-adiparva:2,mahabharata-udyogaparva:2
buBukza	vidyut:1	mahabharata-adiparva:1
buButsa	vidyut:4	nyaya-bhashya:2,mahabharata-adiparva:2
buD	dcs:566,vidyut:18,marker:1	mahabharata-aranyakaparva:77,rigveda:54,mahabharata-adiparva:43
cAkaS	dcs:21,vidyut:2	rigveda:12,atharvaveda:6,shv-up:2
cAkzA	vidyut:1	manavadharmashastra:1
cAlay	dcs:69	hatha-yoga-pradipika:10,bhagavadgita-prabhupada:5,gitarthasamgraha-abhinavagupta:4
cAli	vidyut:2	mahabharata-adiparva:1,ramayana-ayodhyakanda:1
cAmay	dcs:3	manavadharmashastra:3
cAray	dcs:91	mahabharata-aranyakaparva:15,mahabharata-adiparva:10,mahabharata-ashvamedhikaparva:9
cAri	vidyut:3	mahabharata-mausalaparva:2,ramayana-aranyakanda:1
cAtay	dcs:7	rigveda:5,atharvaveda:2
cAy	dcs:13,vidyut:11	ramayana-ayodhyakanda:8,rigveda:7,atharvaveda:3
cUrRay	dcs:32	mahabharata-adiparva:5,mahabharata-dronaparva:3,mahabharata-karnaparva:3
cUrRi	vidyut:1	mahabharata-aranyakaparva:1
cUz	dcs:3	ramayana-ayodhyakanda:1,ramayana-balakanda:1,mahabharata-adiparva:1
caNkram	dcs:7	mahabharata-ashvamedhikaparva:2,mahabharata-udyogaparva:2,mahabharata-aranyakaparva:2
caYc	dcs:4	gitagovinda:2,shatakatrayam:1,shatakatrayam-serebryakov:1
caYcUry	dcs:1	mahabharata-aranyakaparva:1
cak	dcs:4,vidyut:1	buddhacharita:2,rigveda:1,gitagovinda:1
cakAs	vidyut:1,dcs:1	ramayana-sundarakanda:1,gitagovinda:1
cakz	dcs:421,vidyut:52,marker:5	rigveda:95,atharvaveda:34,mahabharata-adiparva:31
cal	dcs:170,vidyut:30,marker:5	atharvaveda:26,shukasaptati:24,mahabharata-dronaparva:15
calay	dcs:1	kama-sutra:1
cam	dcs:28,vidyut:2	manavadharmashastra:16,raghuvamsha:4,br-up:3
can	vidyut:10,dcs:2	rigveda:4,mahabharata-shalyaparva:3,ramayana-ayodhyakanda:1
cand	vidyut:3	ramayana-ayodhyakanda:3
candi	vidyut:2	ramayana-ayodhyakanda:2
canizkad	dcs:1	rigveda:1
car	dcs:1619,vidyut:309,marker:2	rigveda:225,mahabharata-aranyakaparva:177,mahabharata-adiparva:164
carcay	dcs:1	gitagovinda:1
carkar	dcs:17	rigveda:16,atharvaveda:1
carkfz	dcs:6	rigveda:4,atharvaveda:2
carv	dcs:1	kama-sutra:1
cat	dcs:2,vidyut:1	rigveda:2,shatakatrayam:1
caw	vidyut:1	shukasaptati:1
cekit	dcs:7,vidyut:1	rigveda:8
cetay	dcs:17	rigveda:12,mahabharata-adiparva:1,atharvaveda:1
cezw	dcs:70,vidyut:14,marker:1	mahabharata-aranyakaparva:11,mahabharata-dronaparva:7,mahabharata-udyogaparva:7
cezway	dcs:4	manavadharmashastra:1,mahabharata-aranyakaparva:1,mahabharata-dronaparva:1
cft	vidyut:10,dcs:10,marker:1	atharvaveda:14,rigveda:7
ci	dcs:441,vidyut:26,marker:1	mahabharata-aranyakaparva:52,rigveda:44,mahabharata-udyogaparva:38
cihnay	dcs:6	kama-sutra:3,manavadharmashastra:2,mahabharata-aranyakaparva:1
cikIrz	dcs:74	mahabharata-udyogaparva:12,mahabharata-aranyakaparva:11,mahabharata-adiparva:11
cikIrza	vidyut:36	mahabharata-dronaparva:8,mahabharata-adiparva:3,mahabharata-udyogaparva:2
cikIz	dcs:2	rigveda:2
cikits	dcs:15	atharvaveda:5,mahabharata-adiparva:3,rigveda:2
cikitsa	vidyut:5	rigveda:4,manavadharmashastra:1
cikramiz	dcs:1	ch-up:1
cilli	vidyut:2	devi-gita:2
cintay	dcs:574	mahabharata-aranyakaparva:72,ramayana-sundarakanda:58,mahabharata-adiparva:53
cirAy	dcs:2	ramayana-ayodhyakanda:1,mahabharata-aranyakaparva:1
cit	dcs:386,vidyut:3	rigveda:314,atharvaveda:30,pratyabhijna-hridaya_kshemaraja:11
citay	dcs:22	rigveda:22
citri	vidyut:5	rigveda:5
coday	dcs:337	rigveda:54,mahabharata-dronaparva:50,mahabharata-adiparva:30
coray	dcs:1	ramayana-aranyakanda:1
cozkUy	dcs:3	rigveda:3
cud	dcs:19	rigveda:9,mahabharata-dronaparva:3,mahabharata-udyogaparva:2
cumb	dcs:21	amaru-shataka:8,gitagovinda:3,kama-sutra:3
cup	dcs:3	mahabharata-aranyakaparva:3
cyAvay	dcs:26	rigveda:11,ramayana-ayodhyakanda:4,mahabharata-aranyakaparva:3
cyu	dcs:176,vidyut:7	mahabharata-aranyakaparva:26,rigveda:18,mahabharata-adiparva:18
dA	dcs:2549,vidyut:94,marker:4	rigveda:331,mahabharata-aranyakaparva:264,mahabharata-adiparva:243
dAS	dcs:185,vidyut:4	rigveda:179,atharvaveda:8,manavadharmashastra:1
dAhay	dcs:17	mahabharata-adiparva:6,mahabharata-mausalaparva:2,mahabharata-striparva:2
dApay	dcs:36	manavadharmashastra:29,shukasaptati:2,mahabharata-dronaparva:1
dAray	dcs:85	mahabharata-dronaparva:15,mahabharata-karnaparva:13,mahabharata-bhishmaparva:12
dAri	vidyut:9	mahabharata-dronaparva:2,rigveda:2,mahabharata-udyogaparva:1
dAs	dcs:25	atharvaveda:17,rigveda:6,kama-sutra:1
dAsay	dcs:2	atharvaveda:2
dI	dcs:14	rigveda:13,atharvaveda:1
dIdI	dcs:99	rigveda:89,atharvaveda:10
dIkz	dcs:92,vidyut:3	mahabharata-aranyakaparva:10,mahabharata-adiparva:10,manavadharmashastra:8
dIkzApay	dcs:1	mahabharata-sabhaparva:1
dIkzay	dcs:6	mahabharata-ashvamedhikaparva:3,mahabharata-sabhaparva:1,mahabharata-adiparva:1
dIp	dcs:363,vidyut:7	ramayana-aranyakanda:41,mahabharata-dronaparva:37,ramayana-sundarakanda:37
dIpay	dcs:40	ramayana-sundarakanda:5,mahabharata-adiparva:4,mahabharata-udyogaparva:4
dIrGay	dcs:1	ramayana-ayodhyakanda:1
dIv	dcs:57,vidyut:1	mahabharata-sabhaparva:33,mahabharata-aranyakaparva:6,mahabharata-virataparva:5
dUzay	dcs:37	kama-sutra:8,manavadharmashastra:6,ramayana-balakanda:3
daB	dcs:32	rigveda:21,atharvaveda:11
daBAy	dcs:2	atharvaveda:2
daG	dcs:7	rigveda:7
daMS	dcs:78,vidyut:13	mahabharata-adiparva:21,mahabharata-dronaparva:10,amaru-shataka:10
daMSay	dcs:72	mahabharata-dronaparva:19,mahabharata-bhishmaparva:14,mahabharata-udyogaparva:11
daMs	vidyut:10	rigveda:10
daMsay	dcs:2	rigveda:2
daRqay	dcs:29	manavadharmashastra:26,mahabharata-sabhaparva:1,mahabharata-ashramavasikaparva:1
daRqi	vidyut:8	manavadharmashastra:2,ramayana-ayodhyakanda:2,vedartha-samgraha_ramanuja:2
daSasy	dcs:29	rigveda:28,atharvaveda:1
dad	dcs:41,vidyut:6	rigveda:15,atharvaveda:8,mahabharata-aranyakaparva:6
dah	dcs:565,vidyut:17	mahabharata-adiparva:78,mahabharata-dronaparva:57,mahabharata-aranyakaparva:51
dakz	dcs:2,vidyut:2	atharvaveda:4
dal	dcs:6,vidyut:1	gitagovinda:4,amaru-shataka:1,shatakatrayam:1
dam	dcs:77,vidyut:1	mahabharata-dronaparva:12,mahabharata-aranyakaparva:11,mahabharata-udyogaparva:6
damAy	dcs:3	tai-up:2,rigveda:1
damBay	dcs:5	rigveda:4,atharvaveda:1
damany	dcs:1	rigveda:1
damay	dcs:11	rigveda:2,bhagavadgita-1914:2,bhagavadgita-prabhupada:2
dan	dcs:30,vidyut:1	rigveda:24,atharvaveda:6,br-up:1
dandaS	dcs:1	rigveda:1
darSay	dcs:382	mahabharata-aranyakaparva:33,mahabharata-dronaparva:32,kama-sutra:30
daray	dcs:1	rigveda:1
dardar	dcs:17	rigveda:17
darpay	dcs:10	ramayana-sundarakanda:2,mahabharata-aranyakaparva:2,mahabharata-karnaparva:1
das	dcs:25,vidyut:6	rigveda:12,mahabharata-aranyakaparva:2,mahabharata-dronaparva:2
dasay	dcs:2	rigveda:2
davidyut	dcs:10	rigveda:9,atharvaveda:1
day	dcs:41,vidyut:5	rigveda:27,ramayana-balakanda:3,raghuvamsha:3
de	vidyut:1	atharvaveda:1
deSay	dcs:1	mahabharata-bhishmaparva:1
dedIpy	dcs:1	mahabharata-aranyakaparva:1
dediS	dcs:6,vidyut:4	rigveda:10
devay	dcs:56	rigveda:31,atharvaveda:4,ramayana-ayodhyakanda:4
devi	vidyut:7	rigveda:4,bhagavadgita-erman:1,chag-up:1
df	dcs:123,vidyut:6	rigveda:25,mahabharata-dronaparva:20,mahabharata-udyogaparva:12
dfB	vidyut:2,dcs:1	mahabharata-aranyakaparva:2,br-up:1
dfMhay	dcs:3	rigveda:3
dfS	dcs:5137,vidyut:104,marker:4	mahabharata-aranyakaparva:608,mahabharata-dronaparva:531,mahabharata-adiparva:333
dfh	dcs:16	rigveda:11,atharvaveda:5
dfp	dcs:28,vidyut:2	raghuvamsha:5,mahabharata-karnaparva:5,mahabharata-shalyaparva:5
diDakz	dcs:13	ramayana-aranyakanda:3,ramayana-ayodhyakanda:2,mahabharata-dronaparva:2
diDiz	dcs:12	rigveda:12
diS	dcs:1445,vidyut:53	atharvaveda:215,mahabharata-dronaparva:110,mahabharata-aranyakaparva:104
didfkz	dcs:7	ramayana-ayodhyakanda:2,mahabharata-udyogaparva:2,ramayana-sundarakanda:1
dih	vidyut:171,dcs:34	bhagavadgita-smirnov:15,mahabharata-aranyakaparva:15,bhagavadgita-erman:12
dips	dcs:18	atharvaveda:11,rigveda:7
dits	dcs:21	rigveda:9,mahabharata-adiparva:6,atharvaveda:3
ditsi	vidyut:1	rigveda:1
div	dcs:1626,vidyut:17	rigveda:945,atharvaveda:272,mahabharata-aranyakaparva:42
do	vidyut:5,dcs:2	atharvaveda:2,ramayana-sundarakanda:1,ramayana-ayodhyakanda:1
doDUy	dcs:6	mahabharata-dronaparva:2,mahabharata-aranyakaparva:1,mahabharata-udyogaparva:1
doDav	dcs:1	rigveda:1
doDu	dcs:11	rigveda:11
dolAy	dcs:1	kama-sutra:1
dozi	vidyut:3	ramayana-ayodhyakanda:1,atharvaveda:1,kama-sutra:1
drA	vidyut:6	atharvaveda:5,rigveda:1
drAvay	dcs:67	mahabharata-dronaparva:29,mahabharata-karnaparva:15,mahabharata-bhishmaparva:6
drU	vidyut:2	rigveda:2
draQay	dcs:1	yoga-sutry_vyasa-bhashya:1
dru	dcs:874,vidyut:42,marker:8	mahabharata-dronaparva:283,mahabharata-bhishmaparva:121,mahabharata-karnaparva:107
druh	dcs:62,vidyut:3	rigveda:36,atharvaveda:17,ramayana-ayodhyakanda:3
du	dcs:31,vidyut:20	mahabharata-aranyakaparva:8,atharvaveda:5,gitagovinda:5
duCunAy	dcs:3	rigveda:3
duD	dcs:3	rigveda:3
duDukz	dcs:1	shatakatrayam:1
dudukz	dcs:3	rigveda:3
duh	dcs:269,vidyut:3	rigveda:159,atharvaveda:95,manavadharmashastra:4
durasy	dcs:4	atharvaveda:4
durgfBIy	dcs:1	rigveda:1
durhaRAy	dcs:1	rigveda:1
duvasy	dcs:15	rigveda:15
duz	dcs:93,vidyut:2	mahabharata-adiparva:12,ramayana-ayodhyakanda:10,manavadharmashastra:9
dviz	dcs:551,vidyut:13	atharvaveda:205,rigveda:69,mahabharata-udyogaparva:25
dyApi	vidyut:64	chaurapanchashika:50,mahabharata-adiparva:5,mahabharata-aranyakaparva:3
dyotay	dcs:17	yoga-sutry_vyasa-bhashya:3,ramayana-aranyakanda:2,mahabharata-adiparva:2
dyut	dcs:192,vidyut:10	rigveda:52,atharvaveda:34,ch-up:15
dyutay	dcs:1	rigveda:1
e	dcs:187	atharvaveda:49,rigveda:46,mahabharata-adiparva:10
eD	dcs:33,vidyut:8	rigveda:16,atharvaveda:9,ramayana-ayodhyakanda:4
eDay	dcs:10	mahabharata-aranyakaparva:2,mahabharata-dronaparva:2,mahabharata-bhishmaparva:1
ej	dcs:36	rigveda:15,atharvaveda:11,br-up:2
ejay	dcs:1	yoga-sutry_vyasa-bhashya:1
er	dcs:7	rigveda:7
eray	dcs:12	rigveda:6,atharvaveda:5,kau-up:1
ezay	dcs:3	mahabharata-dronaparva:1,mahabharata-udyogaparva:1,atharvaveda:1
f	vidyut:7,dcs:4	rigveda:3,mahabharata-bhishmaparva:2,mahabharata-karnaparva:2
fC	dcs:168	rigveda:78,atharvaveda:18,mahabharata-bhishmaparva:17
fD	dcs:67,vidyut:6	rigveda:21,atharvaveda:8,mahabharata-aranyakaparva:5
fGAy	dcs:4	rigveda:4
fd	dcs:3	rigveda:1,mahabharata-karnaparva:1,atharvaveda:1
fj	dcs:37	rigveda:37
fjUy	dcs:5	rigveda:5
ftAy	dcs:15	rigveda:13,br-up:2
ftIya	vidyut:1	atharvaveda:1
ftay	dcs:1	rigveda:1
fz	dcs:129,vidyut:5	rigveda:129,atharvaveda:4,mahabharata-dronaparva:1
gA	dcs:494,vidyut:6,marker:4	rigveda:165,atharvaveda:59,ch-up:37
gAh	dcs:108,vidyut:11,marker:1	mahabharata-dronaparva:17,rigveda:14,mahabharata-aranyakaparva:9
gAmay	dcs:1	rigveda:1
gApay	dcs:2	raghuvamsha:2
gAtuy	dcs:1	rigveda:1
gF	vidyut:14	rigveda:14
gUhay	dcs:1	pratyabhijna-hridaya_kshemaraja:1
gUrDay	dcs:2	rigveda:2
gaD	dcs:4	rigveda:4
gaRay	dcs:42	mahabharata-aranyakaparva:7,mahabharata-shalyaparva:3,raghuvamsha:3
gad	dcs:106,vidyut:9	shukasaptati:21,buddhacharita:11,mahabharata-ashvamedhikaparva:10
gal	dcs:35,vidyut:2	amaru-shataka:9,gitagovinda:8,shatakatrayam:5
gam	dcs:7012,vidyut:101,marker:3	mahabharata-aranyakaparva:969,mahabharata-adiparva:660,ramayana-ayodhyakanda:556
gamay	dcs:69	mahabharata-karnaparva:10,br-up:7,atharvaveda:7
ganIgam	dcs:2	rigveda:2
garh	dcs:93,vidyut:7	mahabharata-udyogaparva:16,ramayana-ayodhyakanda:16,manavadharmashastra:16
garhay	dcs:38	mahabharata-aranyakaparva:8,mahabharata-dronaparva:6,mahabharata-shalyaparva:5
garj	dcs:62,vidyut:8	mahabharata-dronaparva:19,mahabharata-bhishmaparva:8,mahabharata-aranyakaparva:8
gf	dcs:266	rigveda:217,atharvaveda:18,mahabharata-adiparva:5
gfBAy	dcs:19	rigveda:14,atharvaveda:5
gfD	dcs:24,vidyut:8	mahabharata-ashvamedhikaparva:6,mahabharata-udyogaparva:5,mahabharata-bhishmaparva:4
gfj	vidyut:2	ramayana-sundarakanda:1,mahabharata-bhishmaparva:1
glA	dcs:6	mahabharata-ashramavasikaparva:2,mahabharata-svargarohanikaparva:1,manavadharmashastra:1
glApay	dcs:1	atharvaveda:1
glah	dcs:4,vidyut:1	mahabharata-dronaparva:2,mahabharata-sabhaparva:1,mahabharata-karnaparva:1
glapay	dcs:1	mahabharata-udyogaparva:1
gopAy	dcs:26	atharvaveda:17,tai-up:2,mahabharata-aranyakaparva:2
gopAya	vidyut:3	atharvaveda:2,amaru-shataka:1
gopAyi	vidyut:1	mahabharata-aranyakaparva:1
gopay	dcs:9	kama-sutra:2,mahabharata-aranyakaparva:2,mahabharata-udyogaparva:1
grAhay	dcs:33	kama-sutra:9,mahabharata-aranyakaparva:6,mahabharata-ashvamedhikaparva:5
graTay	dcs:1	mahabharata-virataparva:1
grah	dcs:1835,vidyut:93	mahabharata-aranyakaparva:183,mahabharata-adiparva:176,mahabharata-dronaparva:115
granT	dcs:10,vidyut:4	manavadharmashastra:3,ramayana-sundarakanda:2,rigveda:2
gras	dcs:108,vidyut:11	mahabharata-dronaparva:22,mahabharata-udyogaparva:14,mahabharata-aranyakaparva:9
guRWay	dcs:7	ramayana-ayodhyakanda:4,manavadharmashastra:1,mahabharata-shalyaparva:1
guRay	dcs:1	amaru-shataka:1
guYj	dcs:1	gitagovinda:1
guh	dcs:103,vidyut:2,marker:1	rigveda:16,shv-up:8,mahabharata-adiparva:8
gup	dcs:146	atharvaveda:17,mahabharata-bhishmaparva:15,mahabharata-dronaparva:13
gur	dcs:13,vidyut:3	rigveda:12,manavadharmashastra:3,atharvaveda:1
hA	dcs:880,vidyut:40,marker:2	rigveda:83,ramayana-ayodhyakanda:80,mahabharata-aranyakaparva:65
hApay	dcs:13	manavadharmashastra:6,atharvaveda:3,mahabharata-aranyakaparva:1
hAray	dcs:19	mahabharata-dronaparva:4,mahabharata-virataparva:3,mahabharata-aranyakaparva:2
hAs	dcs:2	atharvaveda:2
hAsay	dcs:2	ramayana-balakanda:1,rigveda:1
hAvi	vidyut:2	ramayana-ayodhyakanda:2
hIq	dcs:3	atharvaveda:3
hUrC	dcs:1	ch-up:1
han	dcs:4901,vidyut:74,marker:19	mahabharata-dronaparva:843,mahabharata-karnaparva:466,rigveda:422
haray	dcs:2	rigveda:2
hary	dcs:51,vidyut:9	rigveda:51,atharvaveda:9
harzay	dcs:72	mahabharata-dronaparva:13,ramayana-ayodhyakanda:10,mahabharata-udyogaparva:6
has	dcs:275,vidyut:11	mahabharata-dronaparva:37,mahabharata-aranyakaparva:30,mahabharata-karnaparva:29
hel	dcs:1	mahabharata-sauptikaparva:1
hez	dcs:9,vidyut:3	buddhacharita:4,rigveda:3,mahabharata-bhishmaparva:2
hf	dcs:1413,vidyut:213,marker:6	mahabharata-aranyakaparva:187,mahabharata-adiparva:135,ramayana-aranyakanda:127
hfz	dcs:626,vidyut:22	ramayana-ayodhyakanda:74,mahabharata-dronaparva:63,mahabharata-aranyakaparva:55
hi	dcs:1982,vidyut:16,marker:3	rigveda:311,mahabharata-udyogaparva:187,mahabharata-aranyakaparva:181
hiMs	dcs:102,vidyut:22	atharvaveda:20,mahabharata-adiparva:14,mahabharata-aranyakaparva:13
hiMsay	dcs:1	mahabharata-aranyakaparva:1
hlAday	dcs:15	mahabharata-ashvamedhikaparva:3,mahabharata-adiparva:3,ramayana-balakanda:2
hnu	dcs:9,vidyut:1	manavadharmashastra:3,atharvaveda:2,amaru-shataka:1
hrAd	vidyut:1	mahabharata-dronaparva:1
hrAsay	dcs:1	manavadharmashastra:1
hrI	dcs:67,vidyut:3	mahabharata-sabhaparva:6,buddhacharita:6,mahabharata-aranyakaparva:5
hras	vidyut:3,dcs:1	mahabharata-aranyakaparva:2,manavadharmashastra:1,mahabharata-adiparva:1
hu	dcs:626,vidyut:14	rigveda:152,atharvaveda:89,mahabharata-aranyakaparva:31
huvany	dcs:1	rigveda:1
hvA	dcs:693	rigveda:392,atharvaveda:107,mahabharata-adiparva:27
hval	vidyut:4,dcs:3	mahabharata-dronaparva:2,mahabharata-karnaparva:1,ramayana-ayodhyakanda:1
hve	vidyut:12	rigveda:8,mahabharata-adiparva:2,ramayana-ayodhyakanda:1
hvf	dcs:13,vidyut:2	rigveda:14,isha-up:1
i	dcs:1008,vidyut:18,marker:15	rigveda:449,atharvaveda:184,ch-up:25
iNg	dcs:21,vidyut:2	bhagavadgita-smirnov:3,mahabharata-aranyakaparva:2,bhagavadgita-prabhupada:2
iNgay	dcs:1	br-up:1
inD	dcs:265,vidyut:4,marker:4	rigveda:179,atharvaveda:38,mahabharata-adiparva:10
inakz	dcs:6	rigveda:5,atharvaveda:1
indray	dcs:1	rigveda:1
