root_slp1	source	registers
Bikz	dcs:41,vidyut:4	rigveda:20,mahabharata-aranyakaparva:6,manavadharmashastra:6
Bizaj	dcs:33	rigveda:13,atharvaveda:11,raghuvamsha:3
Bizajy	dcs:2	rigveda:2
Bojay	dcs:45	manavadharmashastra:18,mahabharata-aranyakaparva:9,mahabharata-adiparva:6
Boji	vidyut:1	ramayana-ayodhyakanda:1
BrASay	dcs:2	rigveda:2
BrAj	dcs:129,vidyut:1	rigveda:32,mahabharata-aranyakaparva:14,atharvaveda:13
BrAjay	dcs:1	mahabharata-udyogaparva:1
BrAmay	dcs:40	mahabharata-dronaparva:8,ramayana-sundarakanda:4,shv-up:3
BrI	dcs:1	rigveda:1
BraMS	dcs:67,vidyut:1	mahabharata-udyogaparva:12,ramayana-aranyakanda:10,ramayana-ayodhyakanda:9
BraMSay	dcs:15	mahabharata-udyogaparva:8,mahabharata-aranyakaparva:4,mahabharata-adiparva:2
BraMs	vidyut:1	mahabharata-udyogaparva:1
Bram	dcs:156,vidyut:8	ramayana-aranyakanda:21,mahabharata-dronaparva:15,mahabharata-adiparva:13
Bramay	dcs:6	shatakatrayam-serebryakov:2,buddhacharita:1,shatakatrayam:1
Brez	dcs:1	rigveda:1
Buj	dcs:594,vidyut:16,marker:3	manavadharmashastra:59,mahabharata-aranyakaparva:46,mahabharata-adiparva:44
Bur	dcs:2	rigveda:2
BuraRy	dcs:10	rigveda:8,atharvaveda:2
Buraj	dcs:1	rigveda:1
Byas	dcs:81,vidyut:23	hatha-yoga-pradipika:28,yotat-up:15,manavadharmashastra:12
CAday	dcs:183	mahabharata-dronaparva:60,mahabharata-bhishmaparva:36,mahabharata-karnaparva:31
CAyay	dcs:2	br-up:2
Cad	dcs:99,vidyut:6	kama-sutra:14,mahabharata-aranyakaparva:13,mahabharata-adiparva:13
Caday	dcs:5	rigveda:5
Cal	dcs:2	gitarthasamgraha-abhinavagupta:2
Calay	dcs:11	gitagovinda:2,bhagavadgita-prabhupada:2,bhagavadgita-burba:1
Cand	dcs:8,vidyut:4	rigveda:8,mahabharata-adiparva:2,mahabharata-udyogaparva:1
Canday	dcs:5	rigveda:2,mahabharata-adiparva:1,mahabharata-dronaparva:1
Carday	dcs:2	mahabharata-bhishmaparva:1,mahabharata-udyogaparva:1
Ceday	dcs:4	manavadharmashastra:4
