form_slp1	primary_lemma	primary_pos	primary_n	alt_lemma	alt_pos	alt_n
viviYcanti	vivic	noun	3	vivic	verb	1
vividizARi	vividiza	noun	18	vividizi	noun	12
vividizARi	vividiza	noun	18	vividiza	verb	2
vivikzu	vivikza	noun	24	vivij	noun	6
vivikzu	vivikza	noun	24	vivikzi	noun	6
vivikzu	vivikza	noun	24	vivic	noun	3
vivitsamAna	vivitsa	noun	8	vividiza	noun	4
vivyA	vivI	noun	3	vyaj	noun	3
vivyAsa	vivyAsa	noun	6	vivyAsi	noun	4
vivyAsa	vivyAsa	noun	6	vivyAsa	verb	1
viyuta	viyutA	noun	3	viyu	verb	1
viyuta	viyutA	noun	3	viyu	noun	2
vizApaha	vizApaha	noun	4	vizApahA	noun	3
vizUci	vizUcI	noun	5	vizUci	noun	3
vizahaRI	vizahan	noun	6	vizah	noun	1
vizwaraSravas	vizwaraSravas	noun	5	vizwaraSrava	noun	1
vratacaryA	vratacaryA	noun	3	vratacarya	noun	1
vratacarya	vratacaryA	noun	3	vratacarya	noun	2
vratavat	vratavat	noun	3	vratavat	ind	1
vyAGnan	vyAhan	noun	2	vyAhan	verb	1
vyAGrAsya	vyAGrAsya	noun	6	vyAGrAsyA	noun	3
vyAGryAm	vyAGrI	noun	2	vyAGrya	noun	1
vyAcakze	vyAcakz	noun	51	vyAcakzi	noun	39
vyAcakze	vyAcakz	noun	51	vyAcakz	verb	2
vyAdi	vyAdi	noun	9	vyad	noun	3
vyAdi	vyAdi	noun	9	vyAdA	noun	3
vyAdi	vyAdi	noun	9	vyAdi	verb	1
vyAhantA	vyAhan	verb	2	vyAhan	noun	1
vyAharam	vyAhf	noun	9	vyAhf	verb	1
vyAharatAm	vyAhf	verb	3	vyAhf	noun	2
vyAnaSi	vyAnaSi	noun	3	vyAnaSin	noun	3
vyAp	vyApi	noun	21	vyAp	noun	7
vyAp	vyApi	noun	21	vyAAp	noun	7
vyAp	vyApi	noun	21	vyAApi	noun	7
vyApAna	vyAp	noun	2	vyAAp	noun	2
vyApArayan	vyApAri	noun	2	vyApAri	verb	1
vyApnuvate	vyAp	noun	2	vyAAp	noun	2
vyAsajya	vyAsaYj	ind	1	vyAsajya	ind	1
vyAsyat	vye	noun	3	vyas	verb	1
vyAvartaka	vyAvft	noun	4	vyAvarti	noun	4
vyAvartizyate	vyAvft	verb	2	vyAvarti	verb	2
vyAyacCat	vyAyam	noun	3	vyAyam	verb	1
vyAyamana	vyAyam	noun	2	vyAyAmi	noun	2
vyaDAyi	viDe	verb	1	viDI	verb	1
vyaDAyi	viDe	verb	1	viDA	verb	1
vyaDAyi	viDe	verb	1	viDAyi	verb	1
vyaKyata	vicakz	verb	2	viKyA	verb	1
vyaTi	vyATi	noun	9	vyaT	noun	6
vyad	vyad	noun	7	vyaT	noun	7
vyad	vyad	noun	7	vyATi	noun	7
vyadanti	vyad	noun	3	vyad	verb	1
vyahan	vihan	verb	2	vyahan	noun	2
vyalkaSa	vyalkaSA	noun	3	vyalkaSa	noun	2
vyapAkarzat	vyapaAkfz	noun	3	vyapakfz	verb	1
vyapAkarzat	vyapaAkfz	noun	3	vyapaAkfz	verb	1
vyapatrap	vyapatrap	noun	7	vyapatrApi	noun	7
vyapavarjita	vyapavarji	noun	6	vyapavfj	noun	2
vyapayAta	vyapayA	noun	2	vyapayA	verb	1
vyavasA	vyavaso	noun	6	vyavasAyi	noun	6
vyavasAyin	vyavaso	noun	2	vyavasAyi	noun	2
vyavasAyya	vyavasAyi	noun	2	vyavasAyi	ind	1
vyucCA	vyucC	noun	14	vyucCi	noun	14
vyucCAd	vyucC	noun	16	vyucCi	noun	16
vyudyate	vivad	verb	1	vyund	verb	1
vyutpAdayati	vyutpAdi	noun	2	vyutpAdi	verb	1
yABi	yABi	noun	9	yaB	noun	3
yAcitavAn	yAc	noun	2	yAci	noun	2
yAjin	yaj	noun	2	yAji	noun	2
yacCamAna	dA	noun	2	yam	noun	2
yacCantI	dA	noun	4	yam	noun	4
yacCatAt	dA	verb	2	yam	verb	2
yadvA	yadvA	noun	3	yadu	noun	1
yadvA	yadvA	noun	3	yadvan	noun	1
yajYavAhas	yajYavAhas	noun	5	yajYavAha	noun	2
yaji	yaji	noun	6	yajin	noun	3
yakzyamARAn	yaj	noun	4	yakzi	noun	4
yamarAja	yamarAjan	noun	6	yamarAja	noun	2
yamin	yAmi	noun	6	yam	noun	2
yamin	yAmi	noun	6	yami	noun	2
yasyati	yas	noun	2	yas	verb	1
yatiDarma	yatiDarman	noun	3	yatiDarma	noun	2
yavamaDya	yavamaDya	noun	6	yavamaDyA	noun	3
yavanI	yavanI	noun	8	yavan	noun	3
yavanI	yavanI	noun	8	yu	noun	2
yayi	yayI	noun	10	yayi	noun	6
yayi	yayI	noun	10	yayin	noun	6
yeye	yA	noun	9	yay	verb	4
yod	yoti	noun	7	yoDi	noun	7
yogasidDa	yogasidDa	noun	4	yogasidDA	noun	3
yukzu	yuj	noun	15	Ayuj	noun	3
yukzu	yuj	noun	15	viyuj	noun	3
yukzu	yuj	noun	15	niyuj	noun	3
yukzu	yuj	noun	15	udyuj	noun	3
yukzu	yuj	noun	15	aDiyuj	noun	3
yukzu	yuj	noun	15	saMyuj	noun	3
yukzu	yuj	noun	15	prayuj	noun	3
yukzu	yuj	noun	15	aBiyuj	noun	3
yukzu	yuj	noun	15	anuyuj	noun	3
yukzu	yuj	noun	15	atiyuj	noun	3
yukzu	yuj	noun	15	apayuj	noun	3
yukzu	yuj	noun	15	upayuj	noun	3
yukzu	yuj	noun	15	duryuj	noun	3
yukzu	yuj	noun	15	niryuj	noun	3
yukzu	yuj	noun	15	viniyuj	noun	3
yukzu	yuj	noun	15	viprayuj	noun	3
yukzu	yuj	noun	15	pratiyuj	noun	3
yukzu	yuj	noun	15	saMniyuj	noun	3
yukzu	yuj	noun	15	visaMyuj	noun	3
yukzu	yuj	noun	15	viniryuj	noun	3
yukzu	yuj	noun	15	vyupayuj	noun	3
yukzu	yuj	noun	15	saMprayuj	noun	3
yukzu	yuj	noun	15	upaprayuj	noun	3
yukzu	yuj	noun	15	atiprayuj	noun	3
yukzu	yuj	noun	15	samanuyuj	noun	3
yukzu	yuj	noun	15	aBiprayuj	noun	3
yukzu	yuj	noun	15	samupaAyuj	noun	3
yukzu	yuj	noun	15	paryupayuj	noun	3
yukzu	yuj	noun	15	nir anuyuj	noun	3
yukzu	yuj	noun	15	paryanuyuj	noun	3
yukzu	yuj	noun	15	pratyaBiyuj	noun	3
yukzu	yuj	noun	15	pratisaMyuj	noun	3
yukzu	yuj	noun	15	pratiprayuj	noun	3
zaqBuja	zaqBuja	noun	4	zaqBujA	noun	3
zaqaSra	zaqaSrA	noun	3	zaqaSra	noun	2
zoqaSakala	zoqaSakalA	noun	3	zoqaSakala	noun	2
