lemma_slp1	source	registers
A	dcs:928	rigveda:775,atharvaveda:117,mahabharata-ashvamedhikaparva:7
ABA	dcs:28	mahabharata-udyogaparva:5,raghuvamsha:4,ramayana-aranyakanda:3
ABAs	dcs:3	raghuvamsha:2,pratyabhijna-hridaya_kshemaraja:1
ABAsa	dcs:10	ramayana-ayodhyakanda:1,mahabharata-bhishmaparva:1,bhagavadgita-smirnov:1
ABAsana	dcs:2	pratyabhijna-hridaya_kshemaraja:2
ABAsi	vidyut:1	gitarthasamgraha-abhinavagupta:1
ABAsvara	dcs:3	buddhacharita:2,yoga-sutry_vyasa-bhashya:1
ABAvi	vidyut:2	nyaya-bhashya:2
ABAz	dcs:27,vidyut:5	mahabharata-aranyakaparva:6,mahabharata-karnaparva:4,mahabharata-adiparva:4
ABAza	dcs:2	ramayana-aranyakanda:2
ABIra	dcs:12	mahabharata-mausalaparva:3,mahabharata-aranyakaparva:2,mahabharata-shalyaparva:2
ABIraka	dcs:2	kama-sutra:2
ABU	dcs:28,vidyut:1	rigveda:15,atharvaveda:8,ch-up:3
ABUka	dcs:1	atharvaveda:1
ABUti	dcs:2	rigveda:1,atharvaveda:1
ABUz	dcs:4	rigveda:3,atharvaveda:1
ABUzeRya	vidyut:1	rigveda:1
ABa	dcs:44	ramayana-aranyakanda:14,mahabharata-dronaparva:9,ramayana-ayodhyakanda:5
ABaga	dcs:5	rigveda:4,atharvaveda:1
ABaj	vidyut:6,dcs:5	ramayana-aranyakanda:4,rigveda:3,atharvaveda:2
ABaraRa	dcs:94	ramayana-ayodhyakanda:18,ramayana-aranyakanda:14,mahabharata-aranyakaparva:9
ABf	dcs:75,vidyut:4,marker:2	rigveda:49,atharvaveda:30,shv-up:1
ABijana	dcs:2,vidyut:1	kumarasambhava:2,mahabharata-udyogaparva:1
ABimAnika	dcs:4	kama-sutra:4
ABiyogika	vidyut:2	kama-sutra:2
ABizecanika	vidyut:13	ramayana-ayodhyakanda:5,mahabharata-adiparva:5,mahabharata-shalyaparva:2
ABoga	dcs:8	rigveda:2,shiva-sutry_sharma:2,ramayana-ayodhyakanda:1
ABogi	dcs:4	rigveda:4
ABra	vidyut:2	ramayana-aranyakanda:1,rigveda:1
ABu	dcs:4,vidyut:1	rigveda:5
ABuj	dcs:1	raghuvamsha:1
AByAsika	vidyut:4,dcs:2	kama-sutra:6
AByantara	dcs:18	sankhya-karika:6,devi-gita:2,mahabharata-dronaparva:2
AByantarika	dcs:1	kama-sutra:1
ADA	dcs:257,vidyut:11,marker:7	atharvaveda:58,rigveda:47,mahabharata-dronaparva:14
ADAna	dcs:6	mahabharata-udyogaparva:2,manavadharmashastra:1,rigveda:1
ADArADeyaBAva	vidyut:1	vedartha-samgraha_ramanuja:1
ADAra	dcs:16	mai-up:4,devi-gita:3,vedartha-samgraha_ramanuja:2
ADAracakra	vidyut:1	devi-gita:1
ADArakArikA	vidyut:1	paramarthasara-abhinavagupta:1
ADAraka	dcs:1	hatha-yoga-pradipika:1
ADArarUpA	vidyut:1	mahabharata-aranyakaparva:1
ADAratva	vidyut:2	vedartha-samgraha_ramanuja:2
ADAray	dcs:1	buddhacharita:1
ADAri	vidyut:1	buddhacharita:1
ADAv	dcs:3	mahabharata-shalyaparva:1,mahabharata-karnaparva:1,mahabharata-virataparva:1
ADI	dcs:2	buddhacharita:1,rigveda:1
ADIparRa	vidyut:1	atharvaveda:1
ADU	dcs:12	mahabharata-shalyaparva:3,amaru-shataka:3,rigveda:1
ADam	dcs:1	br-up:1
ADarmika	vidyut:1	manavadharmashastra:1
ADarzay	dcs:2	ramayana-aranyakanda:2
ADarzi	vidyut:1	mahabharata-sabhaparva:1
ADava	dcs:2	rigveda:2
ADfz	dcs:9,vidyut:2	rigveda:10,atharvaveda:1
ADi	dcs:23	manavadharmashastra:8,mahabharata-aranyakaparva:4,atharvaveda:2
ADikya	dcs:3	kama-sutra:2,manavadharmashastra:1
ADipatya	dcs:25	ch-up:6,bhagavadgita-smirnov:2,bhagavadgita-prabhupada:2
