lemma_slp1	source	registers
ADirAjya	vidyut:4,dcs:2	mahabharata-udyogaparva:2,mahabharata-karnaparva:2,mahabharata-ashvamedhikaparva:1
ADiraTi	dcs:45	mahabharata-dronaparva:22,mahabharata-karnaparva:19,mahabharata-striparva:2
ADistena	vidyut:1	manavadharmashastra:1
ADitA	vidyut:1	vedartha-samgraha_ramanuja:1
ADmA	vidyut:1	mahabharata-adiparva:1
ADra	dcs:6	rigveda:5,atharvaveda:1
ADvaryava	vidyut:4	rigveda:2,mahabharata-udyogaparva:2
ADyAtmika	dcs:9	sankhya-karika:5,manavadharmashastra:2,yoga-sutry_vyasa-bhashya:2
AGAra	dcs:2	mahabharata-ashvamedhikaparva:2
AGAta	dcs:5	mahabharata-bhishmaparva:1,gitarthasamgraha-abhinavagupta:1,atharvaveda:1
AGAwi	vidyut:2	rigveda:2
AGUrR	dcs:2	mahabharata-adiparva:1,buddhacharita:1
AGfRIvasu	dcs:1	rigveda:1
AGfRi	dcs:13,vidyut:2	rigveda:14,atharvaveda:1
AGozay	dcs:1	rigveda:1
AGozi	vidyut:1	rigveda:1
AGrA	dcs:24,vidyut:1	ramayana-ayodhyakanda:5,mahabharata-adiparva:4,mahabharata-aranyakaparva:3
AGrApi	vidyut:1	jabala-up:1
AGuz	dcs:2	rigveda:2
AIr	vidyut:1	rigveda:1
AIri	vidyut:1	rigveda:1
AKAd	dcs:2	rigveda:2
AKaRa	vidyut:4	ch-up:4
AKaRqala	dcs:6	rigveda:2,kumarasambhava:2,megha-duta:2
AKara	dcs:3	rigveda:2,atharvaveda:1
AKida	vidyut:1	atharvaveda:1
AKu	dcs:22	mahabharata-adiparva:12,manavadharmashastra:3,atharvaveda:2
AKyA	dcs:240,vidyut:9	mahabharata-aranyakaparva:41,mahabharata-adiparva:31,ramayana-sundarakanda:19
AKyAna	dcs:57	mahabharata-adiparva:33,ramayana-balakanda:6,mahabharata-aranyakaparva:6
AKyAnaka	dcs:2	kama-sutra:2
AKyAyikA	dcs:5	sankhya-karika:2,ramayana-balakanda:1,jabala-up:1
AKya	dcs:7	mai-up:2,mahabharata-aranyakaparva:1,kumarasambhava:1
AM	dcs:4	rigveda:3,mahabharata-dronaparva:1
ANgUza	dcs:6,vidyut:4	rigveda:10
ANgUzya	dcs:2,vidyut:1	rigveda:3
ANgeyI	dcs:1	mahabharata-adiparva:1
ANgirasa	dcs:54,vidyut:1	atharvaveda:21,rigveda:7,br-up:6
APalodayakarman	vidyut:1	raghuvamsha:1
APalya	dcs:2	nyaya-bhashya:2
AQaka	dcs:4	nyaya-bhashya:2,vedanga_jyotisha:2
AQya	dcs:38	ramayana-aranyakanda:4,ramayana-ayodhyakanda:4,mahabharata-udyogaparva:2
ARImARqavya	dcs:2	mahabharata-sabhaparva:2
ARava	dcs:1	pratyabhijna-hridaya_kshemaraja:1
ARi	dcs:3	rigveda:3
ARqIka	vidyut:4	atharvaveda:4
ARqa	dcs:8	rigveda:4,ch-up:2,atharvaveda:2
ARqaja	vidyut:2	ch-up:2
ARqakapAla	vidyut:2	ch-up:2
ASA	dcs:97,marker:1	atharvaveda:19,rigveda:11,mahabharata-aranyakaparva:8
ASABaNga	vidyut:1	mahabharata-dronaparva:1
ASAbanDa	vidyut:1	megha-duta:1
ASApAla	vidyut:6	atharvaveda:6
ASAs	dcs:18,marker:1,vidyut:1	mahabharata-udyogaparva:3,mahabharata-bhishmaparva:2,mahabharata-dronaparva:2
ASAsaMSita	vidyut:2	atharvaveda:2
ASAsi	vidyut:1	buddhacharita:1
ASAvaha	vidyut:2	mahabharata-adiparva:2
ASAvat	vidyut:2	buddhacharita:2
ASI	dcs:15,vidyut:5	rigveda:12,atharvaveda:2,ch-up:2
ASIrgeya	vidyut:1	ramayana-ayodhyakanda:1
ASIrvAdABiDAnavat	vidyut:1	manavadharmashastra:1
ASIrvAda	dcs:7	ramayana-ayodhyakanda:2,mahabharata-aranyakaparva:2,mahabharata-adiparva:1
ASIviza	dcs:56	mahabharata-aranyakaparva:8,mahabharata-adiparva:6,mahabharata-dronaparva:6
ASaMs	dcs:49,vidyut:4	mahabharata-udyogaparva:14,ramayana-ayodhyakanda:10,mahabharata-dronaparva:7
ASaNk	dcs:7,vidyut:4	manavadharmashastra:2,mahabharata-aranyakaparva:1,mahabharata-adiparva:1
ASaNkA	dcs:6	kama-sutra:3,pratyabhijna-hridaya_kshemaraja:1,shatakatrayam:1
ASarIka	vidyut:2	atharvaveda:2
ASas	dcs:8,vidyut:6	rigveda:9,atharvaveda:5
ASasana	dcs:1	atharvaveda:1
ASay	dcs:10	manavadharmashastra:3,rigveda:3,br-up:2
ASaya	dcs:53	gitarthasamgraha-abhinavagupta:11,yoga-sutry_vyasa-bhashya:7,bhagavadgita-smirnov:3
AScarya	dcs:77	mahabharata-aranyakaparva:10,mahabharata-adiparva:8,mahabharata-dronaparva:7
AScaryaBUta	vidyut:6	mahabharata-aranyakaparva:1,mahabharata-sabhaparva:1,ramayana-balakanda:1
AScaryarUpa	vidyut:2	mahabharata-virataparva:1,mahabharata-dronaparva:1
AScaryatama	dcs:1	ramayana-ayodhyakanda:1
ASi	vidyut:6	rigveda:5,mahabharata-udyogaparva:1
ASin	dcs:3,marker:3	ramayana-aranyakanda:3,bhagavadgita-prabhupada:2,bhagavadgita-radha:1
ASina	dcs:2,vidyut:1	rigveda:2,mahabharata-karnaparva:1
ASir	dcs:9,vidyut:2	rigveda:11
ASira	vidyut:6	rigveda:6
ASis	dcs:69	atharvaveda:25,rigveda:12,raghuvamsha:6
ASizWa	vidyut:2	rigveda:1,tai-up:1
ASlezA	dcs:2	atharvaveda:2
ASleza	dcs:9	shatakatrayam:3,shatakatrayam-serebryakov:2,amaru-shataka:2
ASliz	dcs:16	mahabharata-adiparva:4,mahabharata-karnaparva:4,mahabharata-aranyakaparva:3
ASrAvay	dcs:5	atharvaveda:2,rigveda:1,ch-up:1
ASramAlaya	vidyut:1	raghuvamsha:1
ASrama	dcs:385,marker:1	ramayana-aranyakanda:96,mahabharata-aranyakaparva:87,ramayana-ayodhyakanda:37
ASramaBrazwa	vidyut:1	jabala-up:1
ASramamaRqala	vidyut:6	mahabharata-ashramavasikaparva:4,raghuvamsha:1,mahabharata-aranyakaparva:1
ASramapada	vidyut:27,dcs:11	ramayana-balakanda:11,mahabharata-adiparva:10,mahabharata-aranyakaparva:7
ASramasTAna	vidyut:2	ramayana-aranyakanda:1,ramayana-ayodhyakanda:1
ASramavAsin	vidyut:6	ramayana-balakanda:2,mahabharata-aranyakaparva:1,buddhacharita:1
ASramin	vidyut:9,dcs:3	manavadharmashastra:4,buddhacharita:3,mahabharata-udyogaparva:2
ASrava	dcs:1	mahabharata-ashramavasikaparva:1
ASraya	dcs:78,marker:4	nyaya-bhashya:25,vedartha-samgraha_ramanuja:5,ramayana-aranyakanda:4
ASrayaRIyatva	vidyut:1	raghuvamsha:1
ASrayaRa	dcs:4	paramarthasara-abhinavagupta:2,shv-up:1,pratyabhijna-hridaya_kshemaraja:1
ASrayatva	vidyut:6	nyaya-bhashya:2,yoga-sutry_vyasa-bhashya:1,yoga-sutry_sharma:1
ASrayavat	dcs:3	nyaya-bhashya:2,mahabharata-aranyakaparva:1
ASrayin	vidyut:1	sankhya-karika:1
ASrezA	vidyut:1	atharvaveda:1
ASri	dcs:329,vidyut:8,marker:1	mahabharata-aranyakaparva:35,ramayana-ayodhyakanda:22,ramayana-aranyakanda:17
ASritatva	vidyut:1	jabala-up:1
ASru	dcs:6	rigveda:4,atharvaveda:1,ramayana-aranyakanda:1
ASrutkarRa	vidyut:1	rigveda:1
ASu	dcs:318	rigveda:92,mahabharata-dronaparva:30,mahabharata-aranyakaparva:19
ASuMga	vidyut:2	atharvaveda:2
ASuSrUza	vidyut:1	mahabharata-bhishmaparva:1
ASuSukzaRi	dcs:1	rigveda:1
ASugAmin	vidyut:2	mahabharata-adiparva:1,mahabharata-dronaparva:1
ASuga	dcs:48,marker:1	mahabharata-dronaparva:25,mahabharata-karnaparva:7,mahabharata-bhishmaparva:5
ASuheman	vidyut:5	rigveda:5
ASuhezas	vidyut:2	rigveda:2
ASukArin	dcs:3,vidyut:3	mahabharata-dronaparva:3,mahabharata-virataparva:2,mahabharata-shalyaparva:1
ASumat	dcs:3	atharvaveda:3
ASupatvan	vidyut:1	rigveda:1
ASutva	vidyut:2	mahabharata-aranyakaparva:1,mahabharata-dronaparva:1
ASuvikrama	vidyut:3	mahabharata-dronaparva:1,mahabharata-adiparva:1,mahabharata-karnaparva:1
ASuyA	dcs:1	rigveda:1
ASuz	dcs:5	rigveda:5
ASuzARa	vidyut:4	rigveda:4
ASvAsa	dcs:1	gitarthasamgraha-abhinavagupta:1
ASvAsana	dcs:1	kama-sutra:1
ASvAsay	dcs:84	mahabharata-aranyakaparva:11,ramayana-ayodhyakanda:11,mahabharata-dronaparva:9
ASvAsi	vidyut:1	ramayana-ayodhyakanda:1
ASva	vidyut:2	mahabharata-aranyakaparva:1,yoga-sutry_vyasa-bhashya:1
ASvaGna	dcs:2	rigveda:2
ASvaSva	vidyut:1	rigveda:1
ASvaSvatama	dcs:1	rigveda:1
ASvalAyana	dcs:5	pr-up:3,kai-up:2
ASvameDa	vidyut:3	rigveda:3
ASvas	dcs:19,vidyut:1	mahabharata-udyogaparva:4,mahabharata-aranyakaparva:3,mahabharata-shalyaparva:3
ASvayujI	dcs:2	kama-sutra:2
ASvayuja	dcs:1	manavadharmashastra:1
ASvina	dcs:5	rigveda:5
ASvineya	vidyut:1	mahabharata-sabhaparva:1
ATarvaRa	dcs:32	atharvaveda:9,br-up:8,ch-up:6
ATarvaRi	vidyut:1	br-up:1
AYc	dcs:4	rigveda:2,atharvaveda:2
AYj	dcs:1	manavadharmashastra:1
AYjanAByaYjanA	vidyut:1	atharvaveda:1
AYjana	dcs:14	atharvaveda:12,rigveda:1,kau-up:1
AaYj	vidyut:1	ramayana-sundarakanda:1
Aaj	vidyut:1	mahabharata-sauptikaparva:1
Aas	vidyut:2	atharvaveda:1,mahabharata-bhishmaparva:1
AbADa	dcs:2	rigveda:1,mahabharata-sabhaparva:1
AbadDa	vidyut:1	mahabharata-adiparva:1
AbadDamAla	vidyut:1	megha-duta:1
AbanD	dcs:14,vidyut:1	atharvaveda:7,ramayana-aranyakanda:3,mahabharata-sauptikaparva:2
Abayu	dcs:3	atharvaveda:3
Abrahma	dcs:2	gitarthasamgraha-abhinavagupta:2
AcAma	dcs:1	kama-sutra:1
AcAmay	dcs:3	manavadharmashastra:3
AcAra	dcs:67	manavadharmashastra:11,mahabharata-aranyakaparva:9,bhagavadgita-radha:4
AcArahIna	vidyut:1	manavadharmashastra:1
AcAravarjita	vidyut:1	ramayana-sundarakanda:1
AcAravat	dcs:1,vidyut:1	manavadharmashastra:1,ramayana-sundarakanda:1
AcArya	dcs:291	mahabharata-dronaparva:71,kama-sutra:22,mahabharata-udyogaparva:21
AcAryadeva	vidyut:1	tai-up:1
AcAryajAyA	vidyut:1	ch-up:1
AcAryaka	dcs:7	mahabharata-dronaparva:4,buddhacharita:2,mahabharata-udyogaparva:1
AcAryatA	vidyut:1	mahabharata-udyogaparva:1
AcAryavat	dcs:7,vidyut:2	br-up:7,mahabharata-dronaparva:1,mahabharata-virataparva:1
AcAryopAsana	vidyut:12	bhagavadgita-1914:2,bhagavadgita-sementsov:2,mahabharata-bhishmaparva:1
AcCAda	dcs:1	manavadharmashastra:1
AcCAdana	dcs:6	mahabharata-aranyakaparva:2,kama-sutra:1,mahabharata-ashvamedhikaparva:1
AcCAday	dcs:21	mahabharata-sabhaparva:4,mahabharata-karnaparva:3,mahabharata-virataparva:2
AcCad	dcs:5	mahabharata-shalyaparva:1,mahabharata-aranyakaparva:1,mahabharata-adiparva:1
AcCadviDAna	vidyut:2	rigveda:2
AcCedi	vidyut:1	rigveda:1
AcCid	dcs:15,vidyut:3	mahabharata-dronaparva:5,mahabharata-adiparva:4,mahabharata-aranyakaparva:3
AcCo	vidyut:1	rigveda:1
AcCuritaka	vidyut:4	kama-sutra:4
AcIrRa	vidyut:2	ramayana-ayodhyakanda:1,mahabharata-adiparva:1
Acakz	dcs:246,vidyut:3	mahabharata-dronaparva:27,mahabharata-udyogaparva:24,mahabharata-aranyakaparva:24
Acam	dcs:28	manavadharmashastra:15,raghuvamsha:4,br-up:3
AcamanIya	dcs:12	mahabharata-aranyakaparva:6,mahabharata-adiparva:2,ramayana-aranyakanda:1
Acamana	dcs:4	devi-gita:2,manavadharmashastra:1,kama-sutra:1
Acar	dcs:201,vidyut:37	manavadharmashastra:30,kama-sutra:18,mahabharata-aranyakaparva:17
AcaraRa	dcs:3	gitarthasamgraha-abhinavagupta:1,ch-up:1,rigveda:1
Aci	dcs:29,vidyut:3	mahabharata-dronaparva:10,rigveda:4,mahabharata-aranyakaparva:3
Acit	dcs:1	rigveda:1
Acyu	dcs:1	rigveda:1
AdA	dcs:600,vidyut:7,marker:1	mahabharata-dronaparva:68,mahabharata-adiparva:60,mahabharata-aranyakaparva:53
AdAna	dcs:22	sankhya-karika:4,manavadharmashastra:4,kama-sutra:4
AdAri	vidyut:1	rigveda:1
AdAtu	dcs:1	mahabharata-adiparva:1
AdAvi	vidyut:1	rigveda:1
AdIp	dcs:4	ramayana-ayodhyakanda:1,mahabharata-ashramavasikaparva:1,mai-up:1
AdIpay	dcs:3	ramayana-aranyakanda:1,mahabharata-virataparva:1,mahabharata-adiparva:1
AdIpi	vidyut:1	ramayana-ayodhyakanda:1
Ada	dcs:25,marker:8	atharvaveda:6,mahabharata-aranyakaparva:5,rigveda:4
AdaB	dcs:2	rigveda:2
AdaGna	dcs:1	rigveda:1
Adadi	dcs:3,vidyut:1	rigveda:4
AdarSa	dcs:37	mahabharata-adiparva:3,mahabharata-bhishmaparva:2,bhagavadgita-smirnov:2
Adara	dcs:16	amaru-shataka:4,devi-gita:3,kama-sutra:3
Adardar	dcs:1	rigveda:1
Adardira	vidyut:1	rigveda:1
AdeSa	dcs:34	ch-up:8,vedartha-samgraha_ramanuja:5,ramayana-ayodhyakanda:3
AdeSana	dcs:1	manavadharmashastra:1
AdediS	vidyut:3,dcs:1	rigveda:4
Adehi	vidyut:1	gitarthasamgraha-abhinavagupta:1
Adeva	dcs:3	rigveda:3
Adf	dcs:22	rigveda:4,mahabharata-udyogaparva:4,manavadharmashastra:3
AdfS	vidyut:2	ramayana-ayodhyakanda:1,mahabharata-adiparva:1
Adi	dcs:443,marker:10,vidyut:5	nyaya-bhashya:44,vedartha-samgraha_ramanuja:34,sankhya-karika:32
AdiBUta	vidyut:1	devi-gita:1
AdiS	dcs:76,vidyut:2	rigveda:16,mahabharata-adiparva:9,ramayana-ayodhyakanda:8
AdiSarIra	vidyut:1	mahabharata-aranyakaparva:1
Adideva	dcs:17,marker:11	bhagavadgita-prabhupada:4,bhagavadgita-burba:2,bhagavadgita-1914:2
Adih	dcs:2	ramayana-aranyakanda:1,mahabharata-bhishmaparva:1
AdikAla	vidyut:1	buddhacharita:1
AdikAraRa	vidyut:1	gitarthasamgraha-abhinavagupta:1
Adika	dcs:6	gitarthasamgraha-abhinavagupta:3,mahabharata-adiparva:1,shatakatrayam:1
Adikartf	marker:7,vidyut:7,dcs:5	mahabharata-shalyaparva:2,mahabharata-bhishmaparva:2,bhagavadgita-erman:2
Adimat	dcs:2	nyaya-bhashya:1,yoga-sutry_vyasa-bhashya:1
Adimattva	vidyut:2	nyaya-bhashya:1,man-up:1
AdinATa	dcs:3	hatha-yoga-pradipika:3
Adinava	vidyut:2	atharvaveda:2
Adipuruza	marker:1	bhagavadgita-radha:1
AdirUpa	vidyut:1	gitarthasamgraha-abhinavagupta:1
Adisarga	dcs:2	sankhya-karika:2
AditA	vidyut:3	rigveda:3
Aditas	dcs:23	mahabharata-adiparva:6,mahabharata-udyogaparva:5,manavadharmashastra:2
Aditeya	dcs:2	rigveda:2
Aditsi	vidyut:3	ch-up:2,rigveda:1
Aditya	dcs:680	rigveda:154,atharvaveda:86,ch-up:84
Adityadevata	vidyut:1	br-up:1
Adityagata	vidyut:6,marker:5	bhagavadgita-radha:2,bhagavadgita-1914:1,bhagavadgita-burba:1
AdityajUta	vidyut:1	rigveda:1
Adityajyotis	vidyut:1	br-up:1
Adityaketu	vidyut:2	mahabharata-bhishmaparva:2
Adityaloka	vidyut:4	br-up:2,mahabharata-aranyakaparva:1,kau-up:1
AdityamaRqala	vidyut:5	mahabharata-shalyaparva:2,mahabharata-bhishmaparva:1,mahabharata-udyogaparva:1
AdityatIrTa	vidyut:2	mahabharata-shalyaparva:2
Adityatva	vidyut:3	mai-up:2,ch-up:1
AdityavarRa	vidyut:15,marker:7	bhagavadgita-prabhupada:2,gitarthasamgraha-abhinavagupta:2,mahabharata-bhishmaparva:2
Adityavat	dcs:11	mahabharata-adiparva:3,mahabharata-udyogaparva:1,gitarthasamgraha-abhinavagupta:1
Adiv	vidyut:1	rigveda:1
AdivaMSa	vidyut:2	mahabharata-adiparva:2
Adizwin	dcs:1	manavadharmashastra:1
Ado	dcs:1	atharvaveda:1
Adru	dcs:27	mahabharata-dronaparva:10,br-up:6,mahabharata-bhishmaparva:4
Adu	vidyut:1	mahabharata-mausalaparva:1
Aduh	dcs:1	rigveda:1
Aduri	dcs:1	rigveda:1
Adya	dcs:87,marker:1	manavadharmashastra:11,mahabharata-bhishmaparva:5,bhagavadgita-sementsov:4
Adyanta	vidyut:1	bhagavadgity:1
Adyantavat	vidyut:2	mahabharata-ashvamedhikaparva:1,ramanuja_gitabhashya:1
AgA	dcs:85,marker:3	rigveda:44,atharvaveda:12,br-up:9
AgAmi	vidyut:2	yoga-sutry_vyasa-bhashya:1,mahabharata-adiparva:1
AgAmin	dcs:1	kama-sutra:1
AgAra	dcs:3,marker:2	mahabharata-virataparva:2,kama-sutra:2,shatakatrayam:1
AgE	vidyut:1	ch-up:1
AgF	vidyut:2	mahabharata-adiparva:2
AgaD	dcs:2	rigveda:2
Agam	dcs:968,vidyut:12,marker:1	mahabharata-aranyakaparva:135,mahabharata-adiparva:107,ramayana-ayodhyakanda:98
AgamApAyin	vidyut:11	bhagavadgita-1788:2,bhagavadgita-burba:2,mahabharata-bhishmaparva:1
Agama	dcs:124	kama-sutra:12,mahabharata-adiparva:11,mahabharata-aranyakaparva:9
Agamana	dcs:66	mahabharata-aranyakaparva:16,ramayana-ayodhyakanda:10,mahabharata-udyogaparva:7
AgamasaMhita	vidyut:1	buddhacharita:1
Agamay	dcs:4	mahabharata-adiparva:2,mahabharata-udyogaparva:1,gitagovinda:1
Agamin	dcs:1	yoga-sutry_vyasa-bhashya:1
AgamizWa	vidyut:2,dcs:1	rigveda:2,atharvaveda:1
AganIgam	dcs:1	rigveda:1
Agantu	dcs:2	megha-duta:1,kama-sutra:1
Agantuka	dcs:3	gitarthasamgraha-abhinavagupta:3
Agara	dcs:2	atharvaveda:2
Agas	dcs:53	atharvaveda:27,rigveda:21,mahabharata-sabhaparva:2
Agaskf	dcs:2	mahabharata-adiparva:1,mahabharata-striparva:1
Agaskft	dcs:4	mahabharata-dronaparva:2,mahabharata-bhishmaparva:1,raghuvamsha:1
Agaskfta	dcs:1	mahabharata-aranyakaparva:1
Agastya	dcs:5	mahabharata-adiparva:3,vajs-up:1,mahabharata-aranyakaparva:1
AgatAgama	vidyut:2	mahabharata-aranyakaparva:1,mahabharata-ashvamedhikaparva:1
AgatAsTa	vidyut:1	buddhacharita:1
Agata	marker:2	bhagavadgita-1914:1,bhagavadgita-1788:1
Agatavismaya	vidyut:1	buddhacharita:1
Agati	dcs:5	ramayana-ayodhyakanda:2,mahabharata-ashvamedhikaparva:1,rigveda:1
Agneya	dcs:49	mahabharata-adiparva:14,mahabharata-dronaparva:7,ramayana-balakanda:6
AgniveSi	vidyut:2	rigveda:2
AgniveSya	vidyut:1	br-up:1
Agraha	dcs:3	shukasaptati:3
AgrayaRa	dcs:4	mahabharata-aranyakaparva:2,manavadharmashastra:1,ramayana-aranyakanda:1
AgrayaRaka	vidyut:1	ramayana-aranyakanda:1
AhAra	dcs:107,marker:4	mahabharata-aranyakaparva:12,ramayana-aranyakanda:11,mahabharata-ashramavasikaparva:7
AhAraSudDi	vidyut:3	ch-up:2,buddhacharita:1
AhArasaMBava	vidyut:1	mahabharata-ashvamedhikaparva:1
AhAray	dcs:23	ramayana-aranyakanda:3,mahabharata-ashvamedhikaparva:3,mahabharata-sabhaparva:2
AhAri	vidyut:3	mahabharata-svargarohanikaparva:1,kama-sutra:1,mahabharata-sabhaparva:1
AhAva	dcs:4	rigveda:4
AhU	vidyut:51,dcs:1	mahabharata-aranyakaparva:8,rigveda:8,mahabharata-adiparva:7
AhUrya	vidyut:2	rigveda:2
AhUtADyAyin	dcs:1	mahabharata-adiparva:1
Ahan	dcs:144,vidyut:5	mahabharata-dronaparva:52,mahabharata-karnaparva:19,mahabharata-bhishmaparva:18
Ahanana	dcs:1	atharvaveda:1
Ahanas	dcs:10,vidyut:2	rigveda:8,atharvaveda:4
Ahara	dcs:1	atharvaveda:1
AharaRa	dcs:10	sankhya-karika:2,devi-gita:2,mahabharata-adiparva:1
Ahartf	dcs:6	mahabharata-aranyakaparva:2,mahabharata-ashvamedhikaparva:2,ramayana-ayodhyakanda:1
Ahartu	dcs:8	mahabharata-sabhaparva:4,mahabharata-adiparva:3,mahabharata-aranyakaparva:1
Ahata	marker:1	ramayana-aranyakanda:1
AhatalakzaRa	vidyut:2	mahabharata-aranyakaparva:2
Ahava	dcs:267	mahabharata-dronaparva:86,mahabharata-bhishmaparva:28,mahabharata-karnaparva:26
AhavaSoBin	vidyut:18	mahabharata-karnaparva:6,mahabharata-bhishmaparva:5,mahabharata-dronaparva:3
AhavanIya	dcs:28	ch-up:7,atharvaveda:7,mai-up:6
Ahavana	dcs:2	rigveda:2
Ahf	dcs:178,vidyut:5,marker:1	mahabharata-aranyakaparva:20,mahabharata-sabhaparva:19,mahabharata-adiparva:19
Ahfti	dcs:1	mahabharata-udyogaparva:1
Ahi	vidyut:4	mahabharata-karnaparva:2,ramayana-sundarakanda:1,mahabharata-shalyaparva:1
AhicCatrika	dcs:2	kama-sutra:2
AhitAgni	dcs:5	raghuvamsha:2,mahabharata-striparva:2,manavadharmashastra:1
AhitalakzaRa	vidyut:1	raghuvamsha:1
AhlAda	dcs:1	pratyabhijna-hridaya_kshemaraja:1
AhlAday	dcs:1	raghuvamsha:1
Ahna	dcs:2	ramayana-aranyakanda:2
Ahnika	dcs:5	mahabharata-aranyakaparva:2,mahabharata-dronaparva:1,ramayana-balakanda:1
Aho	dcs:8	bhagavadgity:2,bhagavadgita-prabhupada:2,bhagavadgita-erman:1
Ahosvit	dcs:3	ramayana-sundarakanda:1,mahabharata-aranyakaparva:1,mahabharata-dronaparva:1
Ahu	dcs:77,vidyut:4	rigveda:60,atharvaveda:17,mahabharata-aranyakaparva:1
Ahuka	dcs:11	mahabharata-aranyakaparva:5,mahabharata-udyogaparva:2,mahabharata-sabhaparva:2
Ahuti	dcs:65	rigveda:14,atharvaveda:14,ch-up:10
AhvA	dcs:135	mahabharata-adiparva:21,mahabharata-dronaparva:16,mahabharata-sabhaparva:15
AhvAna	dcs:14	mahabharata-aranyakaparva:5,mahabharata-adiparva:4,mahabharata-dronaparva:2
AhvAyi	vidyut:1	raghuvamsha:1
Ahvaya	dcs:8	ramayana-ayodhyakanda:5,shukasaptati:1,mahabharata-karnaparva:1
Ahvayana	vidyut:2	ramayana-ayodhyakanda:2
Ahvayitavya	vidyut:1	mahabharata-dronaparva:1
Ahve	vidyut:1	mahabharata-shalyaparva:1
Aj	dcs:5	rigveda:3,manavadharmashastra:1,atharvaveda:1
